지역,구분,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
충남,순배출량,22919.5715,23349.10321,24155.42437,28663.02589,35291.94926,39289.25029,49253.00235,53489.63976,50565.30019,59657.16989,66543.65618,71522.78312,75301.60854,78380.1724,84673.16673,84113.91589,91992.2798,98606.05411,109370.5724,105466.248,127768.2704,148378.1118,146239.4269,153570.1725,153015.7847,143702.8583,134451.8949,150636.0123,159495.6969
전북,총배출량,12287.95143,12756.60347,13737.76154,14141.98046,15407.04241,16678.27945,17259.16219,16361.18809,13286.21054,14469.97525,14700.65134,14606.11765,14244.43853,14360.96495,13913.30633,13295.24031,13235.22332,13073.79205,12863.18905,12566.02319,13399.84891,14947.28695,14793.82654,14595.65395,14222.89665,13958.46427,14307.60672,13840.26266,15308.76566
전북,순배출량,8035.121656,8496.573968,9249.04778,12167.23184,13270.43731,14553.89983,15228.45134,14192.42471,10981.73052,11910.7136,12008.45325,7025.152185,6443.411196,6414.665875,10671.94298,10098.1947,9722.519874,8392.58945,8246.026138,8082.425598,12127.65367,12545.46592,13648.26328,11716.43881,12996.49612,11629.37929,11707.73229,10868.39077,12515.6392
전남,총배출량,37482.09073,42383.68768,45699.21427,51021.06723,51885.89154,53273.63994,59776.89552,65984.3825,56875.95942,57695.03417,60946.66245,63563.40506,66512.31871,67917.7224,68915.07341,71307.05915,73855.63909,72365.03409,74263.20396,71578.59967,83671.99502,84601.8878,86102.39652,84701.22861,87469.94901,88288.9044,87889.2055,92389.19245,90279.18582
전남,순배출량,35408.57663,40020.42096,43145.35545,49047.24912,49652.81616,50780.86889,57164.5503,63190.11666,53829.74413,54540.82771,53640.3717,56225.37117,58686.01113,63789.25174,64149.13867,66582.21039,68688.40882,66049.87814,67139.94329,63755.67757,82556.81961,83572.548,86435.41742,80446.80767,83644.17638,84512.52784,83603.39922,88984.55672,86950.17595
경북,총배출량,30891.42049,33496.58246,35384.67719,38801.17096,38612.03267,40866.16113,44339.61297,44179.06529,42169.53199,44694.42096,46489.6928,47817.83253,47607.48896,47930.87375,48868.20636,48010.61603,49720.53065,52890.29576,55227.69186,53176.56537,61785.45587,57583.01619,56761.56557,57097.97346,62304.9897,66625.66261,65058.71891,62541.8393,63013.66521
경북,순배출량,21056.84411,28836.93545,30380.03152,33251.00766,32908.70878,35592.7838,38843.32478,38213.23957,28936.96705,30766.9491,32056.84565,39155.90853,38441.87497,38420.10383,38970.61036,37853.27206,38817.63383,40516.55227,41833.35126,39768.77394,48710.31155,45192.8437,43957.32814,44553.60488,48516.01711,54915.94076,54194.74942,53915.54329,53828.8826
경남,총배출량,41768.03122,46388.06112,54467.27587,58306.30333,64290.12256,67328.27398,74118.85964,85966.63259,46861.40186,48499.06647,57283.75589,57122.99288,60135.40298,61629.50594,62389.50324,63116.25832,63820.14711,62917.68308,64574.07097,70484.55908,74629.2704,75991.84365,76329.58199,75143.72375,71782.27568,72071.56509,71474.76571,67742.99973,64406.48325
경남,순배출량,34043.14366,38462.35206,51880.74678,55676.21628,61271.07135,64963.87035,71955.59893,83523.42071,45651.5853,40346.22017,49046.19062,46894.92938,56054.73336,57208.65791,57617.00026,58170.98075,58495.60009,57478.66937,58818.11291,64400.61533,62942.81171,63559.27053,66163.14736,72515.98622,71955.95897,66345.13434,63928.43854,58738.82027,59627.32107
제주,총배출량,2462.465414,2591.156783,2870.209682,3291.109639,3530.11756,4080.336012,4214.599856,4118.471244,3417.969287,3483.823796,4119.472164,4351.779721,4149.712632,3919.74688,3699.569845,3929.689249,3929.839115,4000.342465,3990.277198,4164.83215,4628.360279,4533.217741,4445.237228,4854.487354,3932.602158,4052.174195,4229.124423,4444.388848,4840.643287
제주,순배출량,1570.534178,1677.358561,2068.06617,2496.844739,2720.399937,3149.514807,3345.890671,3193.239624,2436.262344,2429.625954,3026.607447,3254.720157,2981.51747,2724.892255,2472.637627,2638.549164,2736.872229,3735.193348,3878.647051,4038.147226,5178.190304,5261.247954,5231.949387,4086.812683,3185.90216,3560.90812,3864.205417,4048.330189,4283.732513
