"","process","scenario","year","GWh_sum"
"254","풍력","OSP_CN_REN_20","2040",4679.048742
"255","풍력","OSP_CN_REN_20","2045",4679.048742
"256","풍력","OSP_CN_REN_20","2050",4679.048742
"257","해상풍력","OSP_CN_REN_20","2017",0
"258","해상풍력","OSP_CN_REN_20","2020",79.7504196
"259","해상풍력","OSP_CN_REN_20","2025",525.8429942
"260","해상풍력","OSP_CN_REN_20","2030",2066.579861
"261","해상풍력","OSP_CN_REN_20","2035",2066.579861
"262","해상풍력","OSP_CN_REN_20","2040",2066.579861
"263","해상풍력","OSP_CN_REN_20","2045",2066.579861
"264","해상풍력","OSP_CN_REN_20","2050",2066.579861
"265","ESS","OSP_CN_REN_30","2017",0
"266","ESS","OSP_CN_REN_30","2020",0
"267","ESS","OSP_CN_REN_30","2025",0
"268","ESS","OSP_CN_REN_30","2030",0
"269","ESS","OSP_CN_REN_30","2035",0
"270","ESS","OSP_CN_REN_30","2040",107.8371155
"271","ESS","OSP_CN_REN_30","2045",104.5209132
"272","ESS","OSP_CN_REN_30","2050",1041.762339
"273","기타재생","OSP_CN_REN_30","2017",1486.104225092
"274","기타재생","OSP_CN_REN_30","2020",1879.592143026
"275","기타재생","OSP_CN_REN_30","2025",1987.372730226
"276","기타재생","OSP_CN_REN_30","2030",2061.236349426
"277","기타재생","OSP_CN_REN_30","2035",2229.012284466
"278","기타재생","OSP_CN_REN_30","2040",2229.012284466
"279","기타재생","OSP_CN_REN_30","2045",2229.012284466
"280","기타재생","OSP_CN_REN_30","2050",2229.012284466
"281","석유","OSP_CN_REN_30","2017",277.076774436
"282","석유","OSP_CN_REN_30","2020",164.76016644
"283","석유","OSP_CN_REN_30","2025",83.28985949
"284","석유","OSP_CN_REN_30","2030",89.413578205
"285","석유","OSP_CN_REN_30","2035",0
"286","석유","OSP_CN_REN_30","2040",0
"287","석유","OSP_CN_REN_30","2045",0
"288","석유","OSP_CN_REN_30","2050",0
"289","석탄","OSP_CN_REN_30","2017",20359.7906381
"290","석탄","OSP_CN_REN_30","2020",20373.1756601
"291","석탄","OSP_CN_REN_30","2025",19030.1823961
"292","석탄","OSP_CN_REN_30","2030",14212.8003861
"293","석탄","OSP_CN_REN_30","2035",11897.533555
"294","석탄","OSP_CN_REN_30","2040",6787.812754
"295","석탄","OSP_CN_REN_30","2045",2453.541075
"296","석탄","OSP_CN_REN_30","2050",0
"297","신에너지","OSP_CN_REN_30","2017",233.4491227
"298","신에너지","OSP_CN_REN_30","2020",737.9979574
"299","신에너지","OSP_CN_REN_30","2025",1279.4273511
"300","신에너지","OSP_CN_REN_30","2030",2224.8994883
"301","신에너지","OSP_CN_REN_30","2035",2441.4284878
"302","신에너지","OSP_CN_REN_30","2040",3376.6225918
"303","신에너지","OSP_CN_REN_30","2045",3376.6225918
"304","신에너지","OSP_CN_REN_30","2050",4050.9299996
"305","양수","OSP_CN_REN_30","2017",0
"306","양수","OSP_CN_REN_30","2020",360
"307","양수","OSP_CN_REN_30","2025",360
"308","양수","OSP_CN_REN_30","2030",398.29787234
"309","양수","OSP_CN_REN_30","2035",497.8723404
"310","양수","OSP_CN_REN_30","2040",504.0727915
"311","양수","OSP_CN_REN_30","2045",497.8723404
"312","양수","OSP_CN_REN_30","2050",497.8723404
"313","원자력","OSP_CN_REN_30","2017",12722.404137
"314","원자력","OSP_CN_REN_30","2020",13755.9693806
"315","원자력","OSP_CN_REN_30","2025",14998.460975
"316","원자력","OSP_CN_REN_30","2030",12069.918346
"317","원자력","OSP_CN_REN_30","2035",10294.930354
