source,date,MWh
연료전지,2016-03-09,499.803961
태양광,2016-03-09,63.565985
폐기물,2016-03-09,313.719078
LNG,2016-03-10,3700.11971
바이오가스,2016-03-10,118.992
바이오매스,2016-03-10,0
연료전지,2016-03-10,499.78955
태양광,2016-03-10,68.229985
폐기물,2016-03-10,325.266467
LNG,2016-03-11,3654.324654
바이오가스,2016-03-11,119.064
바이오매스,2016-03-11,0
연료전지,2016-03-11,499.363353
태양광,2016-03-11,67.342518
폐기물,2016-03-11,317.366375
LNG,2016-03-12,3572.451663
바이오가스,2016-03-12,119.064
바이오매스,2016-03-12,0
연료전지,2016-03-12,499.124898
태양광,2016-03-12,36.354526
폐기물,2016-03-12,328.000253
LNG,2016-03-13,3406.25898
바이오가스,2016-03-13,118.6944
바이오매스,2016-03-13,0
연료전지,2016-03-13,499.405432
태양광,2016-03-13,18.465193
폐기물,2016-03-13,325.845858
LNG,2016-03-14,3422.029438
바이오가스,2016-03-14,95.0304
바이오매스,2016-03-14,0
연료전지,2016-03-14,499.209932
태양광,2016-03-14,49.891769
폐기물,2016-03-14,322.709647
LNG,2016-03-15,2639.450289
바이오가스,2016-03-15,87.0144
바이오매스,2016-03-15,0
연료전지,2016-03-15,499.184133
태양광,2016-03-15,55.092282
폐기물,2016-03-15,322.659872
LNG,2016-03-16,853.765598
바이오가스,2016-03-16,90.6768
바이오매스,2016-03-16,0
연료전지,2016-03-16,499.08638
태양광,2016-03-16,57.819983
폐기물,2016-03-16,337.418052
LNG,2016-03-17,725.410121
바이오가스,2016-03-17,92.8512
바이오매스,2016-03-17,0
연료전지,2016-03-17,498.652859
태양광,2016-03-17,36.540823
폐기물,2016-03-17,332.107997
LNG,2016-03-18,831.130586
바이오가스,2016-03-18,93.8448
바이오매스,2016-03-18,0
연료전지,2016-03-18,490.564398
태양광,2016-03-18,43.193481
폐기물,2016-03-18,339.546821
LNG,2016-03-19,711.092243
바이오가스,2016-03-19,79.9152
바이오매스,2016-03-19,0
연료전지,2016-03-19,494.006258
태양광,2016-03-19,54.273746
폐기물,2016-03-19,342.350411
LNG,2016-03-20,594.859876
바이오가스,2016-03-20,67.104
바이오매스,2016-03-20,0
연료전지,2016-03-20,496.615102
태양광,2016-03-20,51.709846
폐기물,2016-03-20,334.770168
LNG,2016-03-21,638.880542
바이오가스,2016-03-21,48.9312
바이오매스,2016-03-21,0
연료전지,2016-03-21,496.634079
태양광,2016-03-21,55.799291
폐기물,2016-03-21,323.759488
LNG,2016-03-22,554.718684
바이오가스,2016-03-22,57.72
바이오매스,2016-03-22,0
연료전지,2016-03-22,496.703592
태양광,2016-03-22,49.778735
폐기물,2016-03-22,211.434799
LNG,2016-03-23,641.70507
바이오가스,2016-03-23,68.6112
바이오매스,2016-03-23,0
연료전지,2016-03-23,496.828628
태양광,2016-03-23,53.863633
폐기물,2016-03-23,291.173193
LNG,2016-03-24,565.838777
바이오가스,2016-03-24,75.8352
바이오매스,2016-03-24,0
연료전지,2016-03-24,496.404353
태양광,2016-03-24,62.83453
폐기물,2016-03-24,323.420031
LNG,2016-03-25,579.121349
바이오가스,2016-03-25,71.0112
바이오매스,2016-03-25,0
연료전지,2016-03-25,496.284196
태양광,2016-03-25,49.420619
폐기물,2016-03-25,326.508937
LNG,2016-03-26,637.418963
바이오가스,2016-03-26,60.24
바이오매스,2016-03-26,0
연료전지,2016-03-26,496.926037
태양광,2016-03-26,52.843204
폐기물,2016-03-26,334.404562
LNG,2016-03-27,644.436516
바이오가스,2016-03-27,45.864
바이오매스,2016-03-27,0
연료전지,2016-03-27,490.281701
태양광,2016-03-27,55.614165
폐기물,2016-03-27,333.711042
LNG,2016-03-28,617.860123
바이오가스,2016-03-28,52.5696
바이오매스,2016-03-28,0
연료전지,2016-03-28,488.277823
태양광,2016-03-28,57.380012
폐기물,2016-03-28,313.224242
LNG,2016-03-29,611.252468
바이오가스,2016-03-29,62.9856
바이오매스,2016-03-29,0
연료전지,2016-03-29,496.538327
태양광,2016-03-29,40.608452
폐기물,2016-03-29,354.251756
LNG,2016-03-30,554.892401
바이오가스,2016-03-30,63.0528
바이오매스,2016-03-30,0
연료전지,2016-03-30,496.370226
태양광,2016-03-30,60.140035
폐기물,2016-03-30,344.830998
LNG,2016-03-31,455.65899
바이오가스,2016-03-31,74.7696
바이오매스,2016-03-31,0
연료전지,2016-03-31,496.242005
태양광,2016-03-31,49.86192
폐기물,2016-03-31,342.592551
LNG,2016-04-01,482.372411
바이오가스,2016-04-01,81.2304
바이오매스,2016-04-01,0
연료전지,2016-04-01,464.516461
태양광,2016-04-01,57.166184
폐기물,2016-04-01,351.480524
LNG,2016-04-02,475.736291
바이오가스,2016-04-02,81.5664
바이오매스,2016-04-02,0
연료전지,2016-04-02,469.819137
태양광,2016-04-02,56.004672
폐기물,2016-04-02,366.449509
LNG,2016-04-03,490.284305
바이오가스,2016-04-03,84.7104
바이오매스,2016-04-03,0
연료전지,2016-04-03,479.511359
태양광,2016-04-03,8.580936
폐기물,2016-04-03,338.005204
LNG,2016-04-04,482.808889
바이오가스,2016-04-04,78.1104
바이오매스,2016-04-04,0
연료전지,2016-04-04,483.003156
태양광,2016-04-04,67.97791
폐기물,2016-04-04,327.808555
LNG,2016-04-05,460.679223
바이오가스,2016-04-05,83.0448
바이오매스,2016-04-05,0
연료전지,2016-04-05,468.323016
태양광,2016-04-05,64.834949
폐기물,2016-04-05,343.420925
LNG,2016-04-06,462.168168
바이오가스,2016-04-06,92.2368
바이오매스,2016-04-06,0
연료전지,2016-04-06,464.309907
태양광,2016-04-06,48.462175
폐기물,2016-04-06,361.273245
LNG,2016-04-07,423.224664
바이오가스,2016-04-07,101.7744
바이오매스,2016-04-07,0
연료전지,2016-04-07,464.634381
태양광,2016-04-07,55.101176
폐기물,2016-04-07,355.332868
LNG,2016-04-08,353.52058
바이오가스,2016-04-08,104.1264
바이오매스,2016-04-08,0
연료전지,2016-04-08,464.986193
태양광,2016-04-08,57.346665
폐기물,2016-04-08,353.409229
LNG,2016-04-09,354.586359
바이오가스,2016-04-09,102.7536
바이오매스,2016-04-09,0
연료전지,2016-04-09,457.239295
태양광,2016-04-09,10.764569
폐기물,2016-04-09,358.080707
LNG,2016-04-10,417.975206
바이오가스,2016-04-10,83.1792
바이오매스,2016-04-10,0
연료전지,2016-04-10,431.592489
태양광,2016-04-10,45.078257
폐기물,2016-04-10,361.955077
LNG,2016-04-11,436.804041
바이오가스,2016-04-11,52.8336
바이오매스,2016-04-11,0
연료전지,2016-04-11,431.697958
태양광,2016-04-11,66.757823
폐기물,2016-04-11,362.390593
