year,sido,gungu,type, 1 , 2 , 3 , 4 , 5 , 6 , 7 
2021,서울특별시,강남구,일반용," 323,067,357 "," 297,753,752 "," 248,849,557 "," 228,927,083 "," 219,933,737 "," 256,414,262 "," 304,780,278 "
2021,서울특별시,강남구,교육용," 5,614,148 "," 5,043,362 "," 4,198,112 "," 3,416,814 "," 2,540,837 "," 3,029,359 "," 3,593,388 "
2021,서울특별시,강남구,산업용," 27,843,298 "," 23,917,448 "," 20,479,927 "," 20,054,230 "," 20,107,545 "," 18,816,709 "," 21,452,265 "
2021,서울특별시,강남구,농사용," 120,203 "," 128,322 "," 97,961 "," 94,259 "," 74,416 "," 72,221 "," 76,117 "
2021,서울특별시,강남구,가로등," 2,157,827 "," 2,002,055 "," 1,789,797 "," 1,741,644 "," 1,555,796 "," 1,444,369 "," 1,410,207 "
2021,서울특별시,강남구,심 야," 1,647,342 "," 1,504,753 "," 1,433,664 "," 1,767,057 "," 2,842,727 "," 6,210,603 "," 8,529,446 "
2021,서울특별시,강남구,합 계," 444,836,690 "," 408,864,781 "," 347,482,850 "," 326,613,478 "," 315,727,918 "," 361,010,700 "," 441,065,241 "
2021,서울특별시,강동구,주택용," 59,944,873 "," 57,653,381 "," 48,694,899 "," 50,152,790 "," 48,092,379 "," 50,838,764 "," 63,801,897 "
2021,서울특별시,강동구,일반용," 69,059,122 "," 65,514,822 "," 54,391,040 "," 51,376,090 "," 49,642,075 "," 56,692,420 "," 67,319,238 "
2021,서울특별시,강동구,교육용," 4,313,025 "," 3,840,827 "," 3,051,228 "," 2,417,794 "," 1,767,877 "," 2,050,189 "," 2,559,068 "
2021,서울특별시,강동구,산업용," 14,686,138 "," 13,230,461 "," 13,989,526 "," 14,125,605 "," 14,296,298 "," 14,421,699 "," 15,363,686 "
2021,서울특별시,강동구,농사용," 225,595 "," 226,751 "," 161,751 "," 129,646 "," 102,994 "," 95,910 "," 98,951 "
2021,서울특별시,강동구,가로등," 959,602 "," 891,638 "," 788,739 "," 757,357 "," 676,095 "," 634,106 "," 623,434 "
2021,서울특별시,강동구,심 야," 436,953 "," 395,393 "," 292,602 "," 231,785 "," 270,281 "," 558,162 "," 886,837 "
2021,서울특별시,강동구,합 계," 149,625,308 "," 141,753,273 "," 121,369,785 "," 119,191,067 "," 114,847,999 "," 125,291,250 "," 150,653,111 "
2021,서울특별시,송파구,주택용," 88,932,108 "," 85,764,265 "," 73,371,054 "," 75,535,944 "," 71,697,489 "," 76,461,107 "," 92,956,110 "
2021,서울특별시,송파구,일반용," 139,869,535 "," 131,699,499 "," 113,447,323 "," 108,473,720 "," 107,929,062 "," 124,175,173 "," 145,408,738 "
2021,서울특별시,송파구,교육용," 6,584,840 "," 6,373,993 "," 4,992,041 "," 4,235,265 "," 3,131,755 "," 3,455,774 "," 4,385,663 "
2021,서울특별시,송파구,산업용," 17,957,866 "," 16,753,844 "," 16,460,553 "," 16,819,774 "," 17,144,924 "," 17,705,422 "," 19,174,112 "
